Model,Asset,Value,What
MLPClassifier,SOLUSDT_1d,"{0: 0.8, 1: 0.2}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.2662552725552222,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.32069749008959325,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{0: 0.84, 1: 0.16}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.3388765797062664,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{1: 0.92, 0: 0.08}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.34427344557637185,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{1: 0.5866666666666667, 0: 0.41333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.4076583177181744,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{1: 0.7333333333333333, 0: 0.26666666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.36381028880266025,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.3191189133433415,F1 VALIDATION
MLPClassifier,SOLUSDT_1d,"{1: 0.8533333333333334, 0: 0.14666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1d,0.4371584699453552,FINAL TEST
MLPClassifier,SOLUSDT_1d,0.4194055136300632,F1 FINAL TEST
MLPClassifier,SOLUSDT_1d,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
MLPClassifier,SOLUSDT_1d,"{1: 0.6612021857923497, 0: 0.33879781420765026}",DESBALANCEO PREDICCIÓN
MLPClassifier,ADAUSDT_1d,0.3527049622058186,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.4332407517112113,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{0: 0.8266666666666667, 1: 0.17333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.36239877269720033,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.331692555421369,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.35076168392269313,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{0: 0.5866666666666667, 1: 0.41333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.3727988435911623,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.4112553703267072,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{1: 0.64, 0: 0.36}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.3778975491181068,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{0: 0.52, 1: 0.48}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.34518327756122763,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{1: 0.84, 0: 0.16}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.3799966092166415,F1 VALIDATION
MLPClassifier,ADAUSDT_1d,"{1: 0.8, 0: 0.2}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1d,"{1: 0.8133333333333334, 0: 0.18666666666666668}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1d,0.5546448087431693,FINAL TEST
MLPClassifier,ADAUSDT_1d,0.47173052571924445,F1 FINAL TEST
MLPClassifier,ADAUSDT_1d,"{0: 0.5409836065573771, 1: 0.45901639344262296}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_1d,"{0: 0.855191256830601, 1: 0.1448087431693989}",DESBALANCEO PREDICCIÓN
MLPClassifier,TRXUSDT_1d,0.42295717926405196,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
