Frequency,Asset,Model,Value,What
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.56, 1: 0.44}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.47165995489111295,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.68, 1: 0.32}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.4877102115720023,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.5466666666666666, 0: 0.4533333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.4657665927184153,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.52, 1: 0.48}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.48677789709774333,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.45815299101578066,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.7466666666666667, 1: 0.25333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.458112373342051,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.6666666666666666, 1: 0.3333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.5189376982291314,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.5733333333333334, 0: 0.4266666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.48003873053327756,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.56, 1: 0.44}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.4804247274096961,F1 VALIDATION
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6, 0: 0.4}",DESBALANCEO PREDICCIÓN VAL
1d,TRXUSDT_1d,RandomForestClassifier,0.45901639344262296,FINAL TEST
1d,TRXUSDT_1d,RandomForestClassifier,0.45583155618298143,F1 FINAL TEST
1d,TRXUSDT_1d,RandomForestClassifier,"{1: 0.6010928961748634, 0: 0.3989071038251366}",DESBALANCEO REAL
1d,TRXUSDT_1d,RandomForestClassifier,"{0: 0.5245901639344263, 1: 0.47540983606557374}",DESBALANCEO PREDICCIÓN
1d,LINKUSDT_1d,RandomForestClassifier,0.4662369212756148,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.96, 1: 0.04}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.4697878973536726,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.43698441812936195,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.9333333333333333, 1: 0.06666666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.4483188105668983,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.9866666666666667, 1: 0.013333333333333334}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.47549388351061184,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.9733333333333334, 1: 0.02666666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.4603474352388205,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.9733333333333334, 1: 0.02666666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.45242057673787023,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.6666666666666666, 1: 0.3333333333333333}",DESBALANCEO PREDICCIÓN VAL
