Frequency,Asset,Model,Accuracy,Vald/Test
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5086177377011757,FINAL TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5030904261314473,F1 FINAL TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,GradientBoostingClassifier,"{0: 0.6165962789635886, 1: 0.38340372103641135}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,GradientBoostingClassifier,0.48642076209119056,F1 VALIDATION
1h,XRPUSDT_1h,GradientBoostingClassifier,"{0: 0.5583333333333333, 1: 0.44166666666666665}",DESBALANCEO REAL VAL
1h,XRPUSDT_1h,GradientBoostingClassifier,"{0: 0.8166666666666667, 1: 0.18333333333333332}",DESBALANCEO PREDICCIÓN VAL
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5206026709279763,FINAL TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5083510915305371,F1 FINAL TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
1h,XRPUSDT_1h,GradientBoostingClassifier,"{0: 0.6589430430316174, 1: 0.3410569569683826}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,GradientBoostingClassifier,0.5104203460259813,F1 VALIDATION
1h,BNBUSDT_1h,GradientBoostingClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.725, 0: 0.275}",DESBALANCEO PREDICCIÓN VAL
1h,BNBUSDT_1h,GradientBoostingClassifier,0.5159228398584637,FINAL TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,0.5154961261559101,F1 FINAL TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,GradientBoostingClassifier,"{0: 0.5549594795114713, 1: 0.4450405204885287}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,GradientBoostingClassifier,0.4895253986487809,F1 VALIDATION
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5416666666666666, 0: 0.4583333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5054217555073621,FINAL TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5028180822628636,F1 FINAL TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,GradientBoostingClassifier,"{0: 0.5795000570711106, 1: 0.42049994292888937}",DESBALANCEO PREDICCIÓN
1h,ADAUSDT_1h,GradientBoostingClassifier,0.43079216205882187,F1 VALIDATION
1h,ADAUSDT_1h,GradientBoostingClassifier,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.7416666666666667, 1: 0.25833333333333336}",DESBALANCEO PREDICCIÓN VAL
1h,ADAUSDT_1h,GradientBoostingClassifier,0.5288209108549252,FINAL TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,0.4831231205273825,F1 FINAL TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.7858691930144961, 1: 0.21413080698550394}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,GradientBoostingClassifier,0.5258651591962498,F1 VALIDATION
