Model,Asset,Accuracy,What
GradientBoostingClassifier,BTCUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,BTCUSDT_1h,0.5047369021801165,FINAL TEST
GradientBoostingClassifier,BTCUSDT_1h,0.5045798241214396,F1 FINAL TEST
GradientBoostingClassifier,BTCUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
GradientBoostingClassifier,BTCUSDT_1h,"{1: 0.506677319940646, 0: 0.493322680059354}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,ETHUSDT_1h,0.5131773884094397,F1 VALIDATION
GradientBoostingClassifier,ETHUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
GradientBoostingClassifier,ETHUSDT_1h,"{0: 0.5555555555555556, 1: 0.4444444444444444}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,ETHUSDT_1h,0.5202602442643534,FINAL TEST
GradientBoostingClassifier,ETHUSDT_1h,0.5173180871014317,F1 FINAL TEST
GradientBoostingClassifier,ETHUSDT_1h,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
GradientBoostingClassifier,ETHUSDT_1h,"{0: 0.5860061636799452, 1: 0.41399383632005476}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,XRPUSDT_1h,0.5200383689597718,F1 VALIDATION
GradientBoostingClassifier,XRPUSDT_1h,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
GradientBoostingClassifier,XRPUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,XRPUSDT_1h,0.5074763154890994,FINAL TEST
GradientBoostingClassifier,XRPUSDT_1h,0.5074219975470723,F1 FINAL TEST
GradientBoostingClassifier,XRPUSDT_1h,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
GradientBoostingClassifier,XRPUSDT_1h,"{1: 0.5080470265951376, 0: 0.49195297340486244}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,BNBUSDT_1h,0.5077484564356147,F1 VALIDATION
GradientBoostingClassifier,BNBUSDT_1h,"{1: 0.5158730158730159, 0: 0.48412698412698413}",DESBALANCEO REAL VAL
GradientBoostingClassifier,BNBUSDT_1h,"{1: 0.6587301587301587, 0: 0.3412698412698413}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,BNBUSDT_1h,0.511243008788951,FINAL TEST
GradientBoostingClassifier,BNBUSDT_1h,0.511241168503893,F1 FINAL TEST
GradientBoostingClassifier,BNBUSDT_1h,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
GradientBoostingClassifier,BNBUSDT_1h,"{0: 0.5164935509645018, 1: 0.4835064490354982}",DESBALANCEO PREDICCIÓN
