Model,Asset,Accuracy,What
GradientBoostingClassifier,LINKUSDT_1d,"{0: 0.773224043715847, 1: 0.226775956284153}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,SOLUSDT_1d,0.46174863387978143,ACC CRYPTO TEST
GradientBoostingClassifier,SOLUSDT_1d,0.4602941726861035,F1 CRYPTO TEST
GradientBoostingClassifier,SOLUSDT_1d,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
GradientBoostingClassifier,SOLUSDT_1d,"{1: 0.5382513661202186, 0: 0.46174863387978143}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,TRXUSDT_1d,0.6229508196721312,ACC CRYPTO TEST
GradientBoostingClassifier,TRXUSDT_1d,0.5061404881101377,F1 CRYPTO TEST
GradientBoostingClassifier,TRXUSDT_1d,"{1: 0.6010928961748634, 0: 0.3989071038251366}",DESBALANCEO REAL
GradientBoostingClassifier,TRXUSDT_1d,"{1: 0.8852459016393442, 0: 0.11475409836065574}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,XRPUSDT_1d,0.5683060109289617,ACC CRYPTO TEST
GradientBoostingClassifier,XRPUSDT_1d,0.5443026004728132,F1 CRYPTO TEST
GradientBoostingClassifier,XRPUSDT_1d,"{0: 0.505464480874317, 1: 0.49453551912568305}",DESBALANCEO REAL
GradientBoostingClassifier,XRPUSDT_1d,"{0: 0.7240437158469946, 1: 0.27595628415300544}",DESBALANCEO PREDICCIÓN
