Model,Asset,Accuracy,What
GradientBoostingClassifier,ADAUSDT_4h,"{0: 0.539479689639434, 1: 0.46052031036056595}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,AVAXUSDT_4h,0.5330899132816066,ACC CRYPTO TEST
GradientBoostingClassifier,AVAXUSDT_4h,0.5299877516279263,F1 CRYPTO TEST
GradientBoostingClassifier,AVAXUSDT_4h,"{0: 0.5376540392514834, 1: 0.46234596074851664}",DESBALANCEO REAL
GradientBoostingClassifier,AVAXUSDT_4h,"{0: 0.5435874030123231, 1: 0.45641259698767683}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,BNBUSDT_4h,0.5029666818804199,ACC CRYPTO TEST
GradientBoostingClassifier,BNBUSDT_4h,0.5018005969625693,F1 CRYPTO TEST
GradientBoostingClassifier,BNBUSDT_4h,"{1: 0.536741214057508, 0: 0.46325878594249204}",DESBALANCEO REAL
GradientBoostingClassifier,BNBUSDT_4h,"{1: 0.5116385212231858, 0: 0.48836147877681424}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,BTCUSDT_4h,0.5098128708352351,ACC CRYPTO TEST
GradientBoostingClassifier,BTCUSDT_4h,0.5096877516014983,F1 CRYPTO TEST
GradientBoostingClassifier,BTCUSDT_4h,"{1: 0.5390232770424463, 0: 0.46097672295755365}",DESBALANCEO REAL
GradientBoostingClassifier,BTCUSDT_4h,"{0: 0.5230488361478777, 1: 0.47695116385212233}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,ETHUSDT_4h,0.4892743039707896,ACC CRYPTO TEST
GradientBoostingClassifier,ETHUSDT_4h,0.4883325037643649,F1 CRYPTO TEST
GradientBoostingClassifier,ETHUSDT_4h,"{1: 0.52259242355089, 0: 0.47740757644910997}",DESBALANCEO REAL
GradientBoostingClassifier,ETHUSDT_4h,"{1: 0.5203103605659516, 0: 0.47968963943404835}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,LINKUSDT_4h,0.49977179370150615,ACC CRYPTO TEST
GradientBoostingClassifier,LINKUSDT_4h,0.49886890859278876,F1 CRYPTO TEST
GradientBoostingClassifier,LINKUSDT_4h,"{0: 0.5143769968051118, 1: 0.48562300319488816}",DESBALANCEO REAL
GradientBoostingClassifier,LINKUSDT_4h,"{0: 0.5280693747147421, 1: 0.47193062528525787}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,SOLUSDT_4h,0.5052487448653583,ACC CRYPTO TEST
GradientBoostingClassifier,SOLUSDT_4h,0.5006173306756154,F1 CRYPTO TEST
GradientBoostingClassifier,SOLUSDT_4h,"{1: 0.5038795070743952, 0: 0.49612049292560473}",DESBALANCEO REAL
GradientBoostingClassifier,SOLUSDT_4h,"{0: 0.6001825650387951, 1: 0.3998174349612049}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,TRXUSDT_4h,0.49612049292560473,ACC CRYPTO TEST
GradientBoostingClassifier,TRXUSDT_4h,0.48237803635840715,F1 CRYPTO TEST
GradientBoostingClassifier,TRXUSDT_4h,"{1: 0.5358283888635327, 0: 0.4641716111364674}",DESBALANCEO REAL
GradientBoostingClassifier,TRXUSDT_4h,"{1: 0.627110908261068, 0: 0.372889091738932}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,XRPUSDT_4h,0.5230488361478777,ACC CRYPTO TEST
GradientBoostingClassifier,XRPUSDT_4h,0.5225889762768157,F1 CRYPTO TEST
