timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2024-03-14,1.62130000,1.66020000,1.47200000,1.56720000,80903781.30000000,1710460799999,126946965.36164000,358473,39443310.60000000,61892361.44466000,0
2024-03-15,1.56720000,1.58220000,1.33860000,1.49270000,118382583.30000000,1710547199999,170515309.07478000,507348,58574038.70000000,84314375.38180000,0
2024-03-16,1.49270000,1.72000000,1.48500000,1.63420000,189146912.20000000,1710633599999,305629502.57546000,951047,94774641.50000000,153177676.84121000,0
2024-03-17,1.63410000,1.63880000,1.43510000,1.61850000,98625361.40000000,1710719999999,151550003.74370000,388402,49055521.40000000,75400778.90675000,0
2024-03-18,1.61850000,1.75400000,1.51770000,1.52360000,132910747.20000000,1710806399999,216952943.35437000,595878,64909205.50000000,105903503.20626000,0
2024-03-19,1.52360000,1.73710000,1.43000000,1.64640000,180002263.60000000,1710892799999,287814586.87941000,851647,90442227.00000000,144625300.22434000,0
2024-03-20,1.64630000,1.78000000,1.49940000,1.75370000,146183486.10000000,1710979199999,235395006.59360000,642434,75057167.40000000,121002781.21612000,0
2024-03-21,1.75370000,1.94860000,1.74040000,1.82640000,117945724.60000000,1711065599999,217899244.71534000,738233,59417777.60000000,109767982.80079000,0
2024-03-22,1.82640000,1.83190000,1.68370000,1.73130000,68117143.60000000,1711151999999,121063958.06859000,417900,32777932.20000000,58276227.85664000,0
2024-03-23,1.73120000,1.73800000,1.64120000,1.64450000,39798958.60000000,1711238399999,67377590.25884000,177148,18348265.90000000,31081830.94821000,0
2024-03-24,1.64470000,1.69890000,1.61860000,1.67830000,33241413.90000000,1711324799999,54984841.25486000,150342,16969464.70000000,28074185.01784000,0
2024-03-25,1.67870000,1.74780000,1.65440000,1.70360000,40307879.60000000,1711411199999,68737793.20603000,223605,19896966.90000000,33943586.38753000,0
2024-03-26,1.70350000,1.89700000,1.69660000,1.88580000,71201858.00000000,1711497599999,128629611.66261000,417356,35778833.00000000,64652636.50575000,0
2024-03-27,1.88590000,2.18290000,1.85570000,2.07540000,151806455.40000000,1711583999999,310183723.01359000,988913,77276278.20000000,157914153.30514000,0
2024-03-28,2.07540000,2.16750000,1.95880000,2.02190000,76805116.80000000,1711670399999,155408986.70344000,417527,38099247.20000000,77106835.82277000,0
2024-03-29,2.02190000,2.14720000,1.90150000,1.90300000,69915223.00000000,1711756799999,142906335.72665000,358803,33660056.50000000,68846877.18711000,0
2024-03-30,1.90300000,1.95540000,1.86610000,1.88050000,33390488.50000000,1711843199999,63960727.97477000,162980,16366011.70000000,31369984.05517000,0
2024-03-31,1.88050000,1.92630000,1.86510000,1.91370000,22474795.40000000,1711929599999,42537336.51150000,116533,10691510.70000000,20243061.29167000,0
2024-04-01,1.91430000,2.02630000,1.80000000,1.93980000,90669121.10000000,1712015999999,175611003.80105000,476818,43874410.20000000,84998863.14315000,0
2024-04-02,1.93990000,2.00540000,1.72680000,1.73300000,72666519.30000000,1712102399999,133602774.92011000,395660,34903805.60000000,64262438.86763000,0
2024-04-03,1.73310000,1.76550000,1.63630000,1.66810000,47017781.80000000,1712188799999,80716567.61989000,216499,23063222.40000000,39614560.12739000,0
2024-04-04,1.66820000,1.74300000,1.65740000,1.68390000,28219103.50000000,1712275199999,47991534.74585000,133618,14174002.50000000,24118831.22025000,0
2024-04-05,1.68390000,1.68400000,1.54060000,1.60750000,33976164.70000000,1712361599999,54346154.56622000,155434,16655964.50000000,26642445.58826000,0
2024-04-06,1.60770000,1.64450000,1.60040000,1.62480000,16031036.80000000,1712447999999,26046346.45557000,94191,7450819.40000000,12103931.77272000,0
2024-04-07,1.62470000,1.66820000,1.61700000,1.64210000,23997449.70000000,1712534399999,39364772.53283000,102780,11338634.80000000,18596370.77733000,0
2024-04-08,1.64190000,1.72250000,1.61890000,1.70990000,28923342.60000000,1712620799999,48455817.00403000,139683,14185750.00000000,23772041.33245000,0
2024-04-09,1.70960000,1.71880000,1.56910000,1.57480000,35189920.90000000,1712707199999,57360794.64808000,162597,17917019.90000000,29160450.68845000,0
2024-04-10,1.57450000,1.58410000,1.46000000,1.52160000,50288571.40000000,1712793599999,76393654.78119000,233449,24410314.30000000,37081937.35825000,0
2024-04-11,1.52170000,1.56040000,1.47530000,1.49040000,33437961.40000000,1712879999999,50462419.34358000,141109,16601956.30000000,25064837.63389000,0
2024-04-12,1.49040000,1.51440000,1.04000000,1.23940000,91574972.60000000,1712966399999,118226373.92034000,439209,43888918.70000000,56748714.14206000,0
2024-04-13,1.23950000,1.24610000,0.88560000,1.06110000,125853856.50000000,1713052799999,137390602.07075000,608565,60740076.60000000,66354009.49981000,0
2024-04-14,1.06120000,1.20970000,1.02460000,1.19850000,97501860.20000000,1713139199999,109845695.85550000,502649,48244376.60000000,54406545.19568000,0
2024-04-15,1.19830000,1.29820000,1.11520000,1.17160000,72404119.70000000,1713225599999,87624610.97013000,354409,36026394.50000000,43600119.48783000,0
2024-04-16,1.17160000,1.23350000,1.10500000,1.22390000,62164842.80000000,1713311999999,72702261.77305000,261023,30894459.70000000,36147757.92858000,0
2024-04-17,1.22390000,1.35780000,1.17700000,1.25980000,77597271.60000000,1713398399999,97593026.11533000,397603,38858901.20000000,48888811.47494000,0
2024-04-18,1.25980000,1.28850000,1.19840000,1.25520000,58880494.00000000,1713484799999,73005586.14345000,229113,29610629.60000000,36723145.48095000,0
