Frequency,Asset,Model,Accuracy,IN/OUT Sample
1d,XRPUSDT_1d,OLS,0.5176848874598071,OUT-SAMPLE
1d,BNBUSDT_1d,OLS,0.4919614147909968,OUT-SAMPLE
1d,SOLUSDT_1d,OLS,0.4630225080385852,OUT-SAMPLE
1d,ADAUSDT_1d,OLS,0.4662379421221865,OUT-SAMPLE
1d,TRXUSDT_1d,OLS,0.4758842443729904,OUT-SAMPLE
1d,LINKUSDT_1d,OLS,0.5241157556270096,OUT-SAMPLE
1d,AVAXUSDT_1d,OLS,0.4694533762057878,OUT-SAMPLE
1d,BTCUSDT_1d,MLP,0.4790996784565916,OUT-SAMPLE
1d,ETHUSDT_1d,MLP,0.495176848874598,OUT-SAMPLE
1d,XRPUSDT_1d,MLP,0.5241157556270096,OUT-SAMPLE
1d,BNBUSDT_1d,MLP,0.4855305466237942,OUT-SAMPLE
1d,SOLUSDT_1d,MLP,0.5337620578778135,OUT-SAMPLE
1d,ADAUSDT_1d,MLP,0.5530546623794212,OUT-SAMPLE
1d,TRXUSDT_1d,MLP,0.5112540192926045,OUT-SAMPLE
1d,LINKUSDT_1d,MLP,0.5176848874598071,OUT-SAMPLE
1d,AVAXUSDT_1d,MLP,0.5016077170418006,OUT-SAMPLE
1d,BTCUSDT_1d,DNN,0.4887459807073955,OUT-SAMPLE
1d,ETHUSDT_1d,DNN,0.4887459807073955,OUT-SAMPLE
1d,XRPUSDT_1d,DNN,0.5209003215434084,OUT-SAMPLE
1d,BNBUSDT_1d,DNN,0.5434083601286174,OUT-SAMPLE
1d,SOLUSDT_1d,DNN,0.495176848874598,OUT-SAMPLE
1d,ADAUSDT_1d,DNN,0.5369774919614148,OUT-SAMPLE
1d,TRXUSDT_1d,DNN,0.4887459807073955,OUT-SAMPLE
1d,LINKUSDT_1d,DNN,0.4887459807073955,OUT-SAMPLE
1d,AVAXUSDT_1d,DNN,0.5241157556270096,OUT-SAMPLE
